condition,window,abs_position,norm,critic_mse,critic_cos
C5_jailbreak,late,79,107.0468521118164,0.2252967357635498,0.8873516917228699
C5_jailbreak,late,80,119.60977935791016,0.16336455941200256,0.9183179140090942
C5_jailbreak,late,81,113.63776397705078,0.21050702035427094,0.8947466015815735
C5_jailbreak,late,82,115.21358489990234,0.16739334166049957,0.9163033962249756
C5_jailbreak,late,83,120.15723419189453,0.2352721244096756,0.8823641538619995
C5_jailbreak,late,84,114.26900482177734,0.19398613274097443,0.9030070304870605
C5_jailbreak,late,85,115.4364242553711,0.2092849463224411,0.8953575491905212
C5_jailbreak,late,86,107.85591888427734,0.2449341118335724,0.8775331377983093
C5_jailbreak,late,87,106.98130798339844,0.22586025297641754,0.8870700001716614
C5_jailbreak,late,88,102.2087631225586,0.3481917977333069,0.8259044289588928
C5_jailbreak,late,89,107.27677917480469,0.24770979583263397,0.8761452436447144
C5_jailbreak,late,90,114.20320892333984,0.19762921333312988,0.9011854529380798
C5_jailbreak,late,91,120.11515808105469,0.2320382297039032,0.8839811086654663
C5_jailbreak,late,92,106.13218688964844,0.1753021776676178,0.9123489856719971
C5_jailbreak,late,93,102.94630432128906,1.128912329673767,0.43554437160491943
